Restaurant,Comments,Output
1618 Asian Fusion,"I come to 1618 frequently and this is my favorite restaurant in Austin. Food and drinks are always good, and the live music and ambience really is impressive. I always request to be seated in Chow's section. He is our favorite!","Food - Egg rolls (nice fry), Shrimp Panang Curry (started great but got sweeter, needed some acid to balance sweetness), Vegetable curry (started great but got sweeter, needed some acid to balance sweetness)||Menu - Huge||Ambiance - Live music||Service - Friendly and attentive "
1618 Asian Fusion,"I had an awesome experience at this spot. Great service, good food & live music. The person playing the piano needs to teach me how to play, he was amazing. This place was extremely packed so my suggestion is to make a reservation or go on a weekday. Here's what I've ordered.

* Thai tea- one of the better Thai teas I've had, it had a good amount of sweetness to it but not overpowering. 4.5/5

* grilled octopus- unique texture but definitely wasn't my favorite. What I can say is that it had a nice charred to it. 2.8/5

* Tom Yum soup- very good, great balance of sour/spice. I will say that if you're not a fan of spicy or aren't use to spice, then don't order it. Unfortunately they cannot adjust the spice level. 4/5

* 1618 egg rolls- even though it looks small & simple, taste wise it was fantastic. It was flaky & had a light crispness on the outside. I also liked that it wasn't greasy at all. The filling on the inside was spot on. I can tell these were made in-house. 4.5/5

* Banana leaf spicy steam salmon- DELICIOUS DELICIOUS DELICIOUS. The fish was cooked to perfection. It was pink & glistening on the inside. My issue with restaurants is that they overcook their fish but this spot delivered it because it was moist. There was a lot of flavors going on in this dish, I tasted coconut, bell peppers, kaffir leaves, curry. It was a great balance of creamy/sweet/zesty. 4.7/5

Overall, it was a great experience from the service to the food. My only issue is with the parking. This restaurant is located on the first floor of an apartment. During busy times you'll be driving around trying to find a spot. They do have garage parking but whoever designed the lines needs to redo it again. They make it so narrow & I feel sorry for folks that drive a truck; you'll literally have to squeeze in that spot & hoping when you open your door that you don't ding someone's car.","Food - Thai Tea (good, sweet), Grilled Octopus (unique, not favorites), Tom Yum Soup (very good, balanced spice), 1618 Egg Rolls (fantastic, light, crispy), Banana Leaf Spicy Steam Salmon (DELICIOUS, perfectly cooked, flavorful)||Parking - Narrow spots, difficult to navigate||Service - Great||Music - Live music||Ambiance - Great "
1618 Asian Fusion,"I have been to this place twice already for a girls night. The original plan is always to go have dinner have couple of drinks and leave. But somehow we always stay until closing hours. Thomas our waiter was extraordinary We are so fortunate to have this place just a few minutes drive away from home.

Love this place and will continue to visit.","Food - Egg rolls (nice fry), Shrimp Panang Curry (started great but got sweeter, needed some acid to balance sweetness), Vegetable curry (started great but got sweeter, needed some acid to balance sweetness)||Menu - Huge||Service - Extraordinary "
1618 Asian Fusion,"Every visit to 1618 has been awesome!!  The food & drinks, the ambiance, and the staff are all great, we will drive all the way from Cedar Park a couple times a month to dine here.  My husband and I love the Peking duck and the whole fish.  We always get the soup dumplings too.
I have tried several things on the menu and have enjoyed just about all of them :)","Food - Peking Duck (awesome), Whole Fish (delicious), Soup Dumplings (good)||Ambiance - Great||Service - Great "
1618 Asian Fusion,"Delicious food, reasonable prices, and reasonable wait times. The menu has all kinds of great things on it. The food has the perfect balance of spices and they have some really unique offerings. I highly recommend the dragonfruit drink. You can't go wrong here!

You may want to call ahead as there is a short wait time in the evenings.","Food - Dragonfruit drink (recommended), Chicken Tikka Masala (great), Lamb Biryani (aromatic and flavorful)||Price - Reasonable||Wait Time - Reasonable "
1618 Asian Fusion,Delicious Asian fusion food in Austin. One of the best restaurants in town. They can get busy and they are a little pricey. But the food and experience is worth it. Large portions per dish. Good for sharing with family and friend groups. Service was friendly and helpful. Food came out hot and fresh. Definitely recommend.,"Food - Thuk, Oxtail pho, Combo fried rice||Price - high||Service - friendly and helpful||Ambiance - Nice "
1618 Asian Fusion,"Great asian fusion spot in Austin. Everything we had was delicious and lots of glutten free options for my wife! The pineapple fried rice was one of the best fried rices I have had. She got the Pho and loved it. Also got duck skewers and valamari, both of which were super fresh and tasty. Highly reccomend.","Food - Pineapple fried rice (best fried rice), Pho (loved it), Duck skewers (fresh and tasty), Valamari (fresh and tasty)||Ambiance - Great||Service - friendly and attentive "
1618 Asian Fusion,"Kept getting advertisements on yelp for this place, so decided to give it a try.

We had made a reservation, but the wait ended up being so long and took extra time. We went earlier in the day around lunch time on weekend.

What stood out about the food was the presentation of it. We let the staff know our dietary restrictions beforehand and so glad we did because so many things have fish sauce / other meats in it.Thankful that our server was able to help us order correctly, since some members in our group were veg.

Ordered:
-dragonfruit mule: it was okay wouldn't order again as it was ice heavy and not an overall great drink
-thai oat milk matcha tea: pretty good and a cool presentation twist to a classic matcha, but leaves a weird after taste
-thai iced tea: really good in flavor
-tofu eggrolls: typical egg roll taste
-veggie dumplings: colorful dumplings, nicely presented
-tom kha ghai soup: it wasn't bad, could've used more flavor
-pineapple rice: nicely presented, ok in flavor
-veggie pho: vegetable heavy, decent broth flavor
-orange chicken n rice: decent but sometimes those mall/fast food ones hit better

The ambiance and visuals of this place were great, the food was okay in our experience. The staff was kind and helpful which was much appreciated given the preferences in our party. I think it was more of a one-time try for us, but would recommend for anyone looking for a wide array of asian dishes, nicely presented dishes, and a good ambiance.","Food - Dragonfruit Mule (Okay), Thai Oat Milk Matcha Tea (Pretty Good, Cool Presentation, Weird Aftertaste), Thai Iced Tea (Really Good), Tofu Eggrolls (Typical), Veggie Dumplings (Colorful, Nicely Presented), Tom Kha Ghai Soup (Not Bad, Could Use More Flavor), Pineapple Rice (Nicely Presented, Okay in Flavor), Veggie Pho (Vegetable Heavy, Decent Broth Flavor), Orange Chicken N Rice (Decent, Sometimes Mall/Fast Food Ones Hit Better)||Ambiance - Great||Service - Kind and Helpful||Menu - Wide Array of Asian Dishes, Nicely Presented||Price - high "
1618 Asian Fusion,"(3.5/5) Remember this is Asian Fusion!! (It's even in the name!!) So don't expect really authentic asian food, but instead a nice tasty twist! You can park in the parking garage right next door or I believe if you get lucky there are some outdoor parking spots but those are pretty limited! The restaurant itself is spacious and modern, nice decor and there's also outdoor seating! Food was overall pretty tasty (definitely on the more flavorful/salty side), but our waitress didn't bring us any serving spoons for any of our dishes (including the fried rice!!). Regardless, this place is definitely worth trying - I recommend coming in a group of 4 so you can try several dishes!

What we ordered:

[Recommended]
- Calamari Salted Pepper: delicious! Just the right amount of flavoring & crunch! Highly recommend!
- Combo Fried Rice (chicken, beef, shrimp, yellow onion, corn, green onion, egg): delicious fried rice!
- Thai Crispy Redsnapper in Tamarind (batter fresh whole red snapper in spicy Thai tamarind sauce with basil, red bell pepper, yellow onion, lemongrass): they only had the larger size available so we went with that for 4 people and it was a LARGE fish! But the sauce was SOOO tasty! Goes great with rice! Highly recommend!

[Others]
- Whole Peking Duck (whole boneless roast duck served with buns, Peking sauce, green onions, scallions): the Peking sauce is pretty far off from the authentic Peking duck sauce, and it was a little weird getting 4 duck legs? (Haha) I love duck so it the duck meat was still delicious but I almost wished they had the sauce right and served thin wraps instead.
- Grill Octupus (marinated baby octopus charcoal grilled): VERY SALTY! Try at your own risk!

Overall it wasn't a bad experience! I recall the owner stopped by to say hi too. We ended up taking some food home since the fish was HUGE! I would recommend this place if you're looking for an Asian fusion restaurant to dine at!","Food - Calamari Salted Pepper (delicious), Combo Fried Rice (delicious), Thai Crispy Redsnapper in Tamarind (tasty), Whole Peking Duck (delicious duck meat, strange to have four duck legs), Grill Octopus (very salty), Baby Octopus (salmon)||Parking - Available||Service - Great||Ambiance - Modern and spacious||Menu - Huge "
1618 Asian Fusion,"Some of the BEST food in Austin. I am so glad we finally made it out to check out 1618. Our hostess was so nice, the server was so helpful too. We were able to get a reservation for happy hour and tasted a few plates and cocktails off the HH menu!

I think overall our favorite dishes were the green curry and crispy pad Thai.

The flavors were amazing! The pepper sauce with the crispy salmon was SO GOOD.

I can honestly say I loved it all.

The vibe of the restaurant is so nice.","Food - Green Curry (favorite), Crispy Pad Thai (favorite), Pepper Sauce with Crispy Salmon (good), Red Snapper in Coconut Milk (good)||Ambiance - Nice||Service - Helpful "
1618 Asian Fusion,"We're from LA, where Asian fusion is the """" I have to say we We're here for a few day's saw this spot and said "" let's see if this is any good "" I'll tell you .
It's a must stop!! Amazing service, amazing food, fast and incredible drinks!! The place is beautiful as well. Great job! I'm hooked when we're back in town, and we will be back. fosho! It's a must stop.
I don't write many reviews but had too for this spot.
Any special events book that
Thank you to all the team working there.
You will enjoy e everything you eat.
the  all that!",Food - Amazing||Service - Amazing||Ambiance - Beautiful 
1618 Asian Fusion,sharia was amazing!! the person performing was so good. the food and drinks were delicious. can't wait to come back!,Food - Sharia was amazing||Drinks - Delicious||Service - amazing 
1618 Asian Fusion,"Everything was delicious! We had a little bit of everything. The drinks were also pretty good!
Anastasiia was our waitress and she was so nice and very knowledgeable. She was always trying to make sure that we were taken care of.","Food - Egg rolls (nice fry), Shrimp Panang Curry (started great but got sweeter, needed some acid to balance sweetness), Vegetable curry (started great but got sweeter, needed some acid to balance sweetness)||Menu - Huge||Service - Nice and knowledgeable "
1618 Asian Fusion,"Went to 1618 Asian Fusion when in Austin and overall enjoyed the experience minus how slow the service was. We went on a Sunday night and they had live music which was really nice, once seated we got some drinks and food. We ended up ordering the following:

*lycheteeni: this was a lychee martini kind of drink, and if you like the flavor of lychee you will love this, the drink is strong and flavorful all at once!

*pineapple fried rice: this came with duck meat and shrimp and was really flavorful and came in a cute pineapple which was pretty cute

*vegetarian dumplings - they came in different colors and the filling was super flavorful. The chili oil sauce was absolutely delicious

*mango with sticky rice - this was yummy but I felt could have come with more mango - the portion was very less

Overall I liked the food but the service was really slow - if this gets better I would go back!","Food - Lycheteeni (loved), Pineapple fried rice(flavorful), Vegetarian dumplings (flavorful), Mango with sticky rice (yummy but small portion), and Drinks - Pineapple fried rice (flavorful), Vegetarian dumplings (flavorful), Mango with sticky rice (yummy but small portion)||Service - slow "
1618 Asian Fusion,"Man I wish I looked at interior pics and dressed up a little when I went here! So many people were in dates and it's such a nice place with amazing food! A little upscale and pricy but so well worth it. My fiancÃ© and I came around 7:30 and were able to find parking outside plus there's a garage for free retail parking.
There was a little bit of wait as they were packed. After 20 mins or so of waiting we were seated at the bar. There were a few tables that needed to be cleaned up and they probably had reservations. We took what was first available inside. It took a while to place drinks and food in as they were slammed. I ordered the yellow curry with chicken and it was divine! Beautifully presented and the taste was great. Spicy but carefully balanced with some sweetness. It came with a side of rice. I do wish the side rice was a little bigger in portion so I could eat with leftovers.

All in all this is a great date night or night out spot!  Try to get reservations to avoid the wait. But staff was pretty friendly and nice to us.",Food - Yellow Curry with Chicken||Drinks - Place||Location - Upscale||Parking - Free||Service - Friendly and nice 
1618 Asian Fusion,Took my parents here while they were in town. The food was good and reasonably priced! We also really loved the band that was playing. Will definitely be back,Food - Good||Price - Reasonable||Ambiance - Loved the music 
1618 Asian Fusion,"I got the pad Thai, my friend got the filet mignon pho. My noodles were melt in your mouth with the perfect amount of spice. The broth of the pho was so flavorful, I will definitely get that next time. Such a posh environment. The table next to us got the cheesecake flambÃ©, the waiters make it such a fun experience.
Only suggestion for visitors, we went on a Wednesday evening ~6pm, and there was a 30 minute wait. Definitely get a reservation ahead of time to skip the line. Either way, so worth the wait!","Food - Pad Thai (melt in your mouth, perfect spice), Filet Mignon Pho (flavorful broth), Cheesecake Flambe (fun experience)||Ambiance - Posh||Service - Friendly and attentive "
1618 Asian Fusion,"Love coming here to get their rib pho! Cures my hangover after a night of drinking. I'm not a big coffee drinker, but the Hanoi egg coffee is a great kicker to start off with! Love the decorations and theme of the restaurant, it's very cozy. They could do a little better on customer service. we were able to get seated right away for our reservation but no one came to take our order until 10 minutes in.","Food - Rib pho (loved), Hanoi egg coffee (recommended)||Decoration - Nice||Service - Lackluster "
1618 Asian Fusion,"This was my 3rd time going to 1618 Asian Fusion, so it's safe to say that I like it.

First thing, I love the place - the restaurant is bright, modern, with great lighting very cool ambiance, and it's big, lots of tables. They also have an outdoor. You can park for free in the huge retail parking garage - 10/10 on look & parking.
We were told the wait would be ~30 minutes on a Wednesday night, and really we waited a little under 10 minutes.

The food is great! We shared a bunch of dim sum: the Soup dumplings ($11) Chicken dumplings ($11), the Beef potstickers ($11). My favs are always the soup dumplings. 2 waiters also said the calamari were their fav app, so we tried it (I'm not a big calamari person) and I LOVED IT!! The sauce that came with it was so delish!
I wanted some sweet to end and got the NYC style Cheesecake ($9) and omg best cheesecake I've had in a while!!

In the past, I've tried:
- the five samplers: loved the pork belly buns, yum!
- their pho and it was very good, but they have too many other yummy things for me to get it again unless I have a craving
- my husband had the pineapple fried rice, a classic there - watch out it's pretty spicy!!

The drinks are a little pricey, at least for the cocktails, ~$12 but good though. I had the 1618 collins and it's very refreshing.

Pro tip:
- Wednesday night is wine night - they have a selection of bottles 50% off so about $20 for a bottle, that's a DEAL!
- They have Happy Hour Monday, Tuesday, Thursday 4:50-6pm and the cocktails, sake and house wine is $8 + some good deals on food","Food - Soup Dumplings (Loved), Calamari (Loved), Cheesecake (Best)||Ambiance - Bright, Modern, Cool||Parking - Free||Drinks - cocktails pricey||Service - Friendly, Attentive "
1618 Asian Fusion,Best pho in Austin hands down.  Although the wait can be a bit point but worth it for sure.,"Food - Pho Beef Rib (large portion, very tender meat), Pho Filet Mignon (elevated), Pho Short Rib (rich broth, huge beef ribs), Combo (best value)||Service - Friendly and attentive||Ambiance - Modern and inviting||Menu - Huge||Price - high "
1618 Asian Fusion,"The food was delicious and aesthetically pleasing. I went here for a birthday dinner and the service, food, and drinks were very good. I got the crispy pad thai, it tasted good but the texture of it was a little off to me. I usually like certain foods crispy but I think I would prefer the regular pad thai over the crispy here. Besides that, everything else was amazing. My friend also loves the pho here.","Food - Crispy Pad Thai (delicious but texturally odd), Pho (excellent)||Service - Great||Drinks - Good "
1618 Asian Fusion,"I had written a bad review and the GM read and responded as well as they could... we came back and had a much better experience second time around. The food was hot, fresh and good. The waitress had it all under control and there was no singer drowning out our conversation. ... Thank you so much for the meal.",Food - Hot & Fresh||Service - Controlled||Ambiance - Good 
1618 Asian Fusion,"Every dish we had was too sweet, the appetizers were cold even the ones that weren't supposed to be. The walls were tiled as to make the sound bounce around the room and on top of that there was a a musician singing and playing the piano which sure didn't need to be amplified but was ... way too much. The food came out sporadically, we ordered three appetizers and they came out 10 minutes apart... it was Mother's Day and they were slammed but still. It wasn't their first Mother's Day. The Musician was good at what she did but way to load as to make any table conversation unpleasant.  The waitress was great it wasn't her fault the grilled meats on skewers were not warm but cold and he dishes came ten to twenty minutes apart. With the tip for three people with drinks and the tip it was two hundred bucks... a lot of money for an unpleasant evening.","Food - Cold Appetizers, Warm Meats on Skewers||Music - Pianist||Ambiance - Tiled Walls, Too Much Sound Bouncing||Service - Great||Price - high "
1618 Asian Fusion,"This is a very beautiful Asian fusion restaurant and the food did not disappoint. The menu items are also not super pricey. I've seen worse for smaller portions at places like Lin's or Wu downtown. We came for an early dinner at 5pm on a Friday night and it was pretty easy to get seated.

FOOD: I ordered the soup dumplings and crispy pd thai. Very good, strong tamarind flavor with the pad thai. They said that we couldn't have a non-spicy version of the crispy pad thai but it turned out to be not very hot. I wasn't in love with it as a crispy noodle, because it was like eating wonton chips with pad thai flavoring. I found myself missing eating it in it's usual texture. I just wanted to try something different but I wouldn't choose it again.

The soup dumplings were perfect! Came out super hot and had a lot of liquid. My gf got the chicken dumplings and they had very thick wrapping. It was surprisingly filling.

My friend got the orange chicken. Our waiter said 1618 has the best orange chicken she's ever had. He seemed to think it was great too.

At the end of our meal, we wanted to finish off with egg buns. However we let our waitress know early on that we'd want it after eating our entrees. She didn't put it in until after we finished eating, and we ended up waiting 20 mins for 2 eggs buns after eating our entrees. It was delicious and exactly what we wanted, but took a while to come out.

I'd definitely consider coming back to this location and trying more dishes. They have peking duck and a lot of big dishes worth splurging more on.","Food - Soup Dumplings (perfect, lots of liquid), Crispy Pad Thai (strong tamarind flavor, not very hot), Chicken Dumplings (filling), Orange Chicken (best), Egg Buns (delicious, took a while to come out)||Ambiance - Beautiful||Service - Friendly, Attentive "
1618 Asian Fusion,"I will say that the food, drinks, and ambiance here is amazing! I recommend making reservations as they do get super busy, but other than the wait we had (an hour) it was most definitely worth it! This is a great date night spot and also a fun place to take friends too. We went on a Friday night and there was live music. As far as food, there is nothing that you can order that isn't tasty! I love each dish we ordered was bursting with flavor and deliciousness.  For the table, definitely order the Five Sampler - this comes with an assortment of beef/chicken skewers, lollipop shrimp, pot stickers, and egg rolls. Also get the full duck to make your own little bun sandwiches. Super yummy! The drinks here are also top notch. My favorite drink here was the matcha espresso martini - the perfect blend of coffee and matcha sweetness. Definitely worth visiting when in Austin. As far as parking, they have a parking garage that is free.","Food - Five Sampler (recommended), Full Duck (recommended), Lunch Special (excellent), Duck Fat Fried Rice (excellent), Pineapple Fried Rice (excellent), Combo Fried Rice (excellent), Scallop Caviar Sui Mai Dumplings (excellent), SautÃƒÂ©ed Baby Bok Choy (good), SautÃƒÂ©ed Water Spinach (good), Shrimp Stuffed Eggplant (good), Vegetable steamed dumplings (good), Sesame Chicken (good), Orange Chicken (good), General Tso's Tofu (good), Honey Akaushi Beef (good)||Drinks - Matcha Espresso Martini (favorite)||Parking - Free||Ambiance - Great||Service - Great "
1618 Asian Fusion,"Came here two times now, and yummmm!!! Everything we've ordered from here has been so delicious! Tonight we visited for my husband's birthday and ordered a bunch! The chicken pad Thai is great, we chose spicy! The pot stickers are so fun with the extra fried pieces. The sampler was filling and great, we just didn't like the wontons personally too much but ate it all! The soup dumplings had such great flavor and were perfect! Lastly we got a slice of cake, and it was lemon with strawberry filling  and mm mm mm!! Chow was our waiter and he was the absolute best, huge thank you to him and the chefs this evening!","Food - Chicken Pad Thai (great, chose spicy), Pot Stickers (fun, extra fried pieces), Sampler (filling, liked), Wontons (not good), Soup Dumplings (flavorful, perfect), Cake (Lemon with Strawberry filling)||Service - Best||Ambiance - Absolutely perfect "
1618 Asian Fusion,"1618 Asian Fusion USED to be my favorite restaurant to go with my fiancÃ©e. We are from out of town & haven't visited in 3 years & our main food goal was to come to 1618 and needless to say I was so so disappointed. Never returning again.

If you have a shellfish allergy, do yourself a favor and don't even go. Everything has ""shellfish"" even your typical chicken pad Thai or filet mignon. Please explain that to me lol. Very limited options for someone who has a shellfish allergy.

Everything started the moment we arrived. We were sat down and it took 15 minutes before someone came to our table. The server only came because I told the host. After the server came to us he was a nice guy and tried to do this best in accommodating me but the chef wouldn't make any changes for someone like me who has an allergy.

In summary, we had 2 glasses of wine, grilled octopus and baos and ordered our check.

1618 we used to LOVE you but now you have lost us. I'll make sure other friends of mine don't visit you all.","Food - Grilled octopus (good), Bao buns (good)||Service - Nice||Ambiance - Nice "
1618 Asian Fusion,"On our weekend visit to Austin, a local recommended we check out this restaurant. We wished our visit was longer so we can try more of the dishes.

We tried the grilled octopus. For me, the marinade had an odd flavor after taste. My partner didn't taste any unusual spice in the marinade and thought the octopus was good.

The second app was the sugarcane shrimps. I had these elsewhere and like them, which was why I ordered it. Unfortunately, 1618's version were oily and lacked flavor.

The main was the bamboo leaf steamed salmon. The was the highlight. You can taste the kaffer in the peanang sauce.

Service at the bar was good so the overall experience was a 3.5.","Food - Grilled octopus (mara-de had an odd flavor), Sugarcane shrimp (lacked flavor), Bamboo leaf steamed salmon(highlight, Kaffer in the peanang sauce)||Service - Good||Ambiance - Nice "
1618 Asian Fusion,"I've been to 1618 a few times, and it's consistently pretty good. They can get busy at night, so I recommend making reservations beforehand. The interior is really modern, clean, and has aesthetic decor.

On my most recent visit, I ordered the pho filet mignon and the meat was nice and tender. The broth was also very flavorful and rich, so I really liked the dish.

My party also split an order of Xiao Long Bao and combo fried rice. The XLB was okay, but I've had better in Austin and way better elsewhere. We sent back our combo fried rice after a few bites because it was extremely salty. Our waiter was really helpful and offered to have it remade. The new fried rice was a lot less salty and had a nice smoky flavor. Overall, if this food was served in a hole in the wall spot, I would likely give it 3 stars, but the ambiance is really nice and they serve pretty good food.","Food - Pho Filet Mignon (nice and tender, flavorful broth), Xiao Long Bao (okay), Combo Fried Rice (salty, later replaced with less-salty version)||Ambiance - Modern, clean, aesthetic décor||Service - Helpful, friendly, accommodating||Menu - Huge "
1618 Asian Fusion,"I ordered the pad Thai on a busy Friday night. The place was packed when I went to pick it up but that's just Austin.

I feel like the portion is a little small for a $20 noodle dish though I did opt for the shrimp so that adds a few bucks. All in all, the dish was delicious, every flavor was fresh and bright. All in all, very enjoyable to eat. I would probably get an appetizer next time.","Food - Pad Thai (Delicious, Fresh and Bright Flavors), Shrimp (Small Portion)||Location - Packed Restaurant||Price - high "
1618 Asian Fusion,"I love 1618 and it's always on my list of recommended eats for friends visiting Austin! They have a wide range of cuisine and everything is delicious! my only qualm is the food is a tad too spicy for me. i've asked to change the spice level but I was told it wasn't doable. other than that, service is great and the live music really makes the ambiance intimate and a great place to catch up with friends!","Food - Egg rolls (nice fry), Shrimp Panang Curry (started great but got sweeter, needed some acid to balance sweetness), Vegetable curry (started great but got sweeter, needed some acid to balance sweetness)||Menu - Huge||Service - Great||Ambiance - Live music||Menu - Huge "
1618 Asian Fusion,I highly recommend this restaurant! The food was spectacular and our server Shira was amazing! She attending to all of our needs and was so sweet! We got the Filet Mignon Pho and the Chicken Lemongrass Vermicelli Bowl. Go check it out!,"Food - Filet Mignon Pho (highly recommended), Chicken Lemongrass Vermicelli Bowl (highly recommended)||Service - Amazing||Ambiance - Nice "
1618 Asian Fusion,"Elizabeth, Elizabeth, Elizabeth, Elizabeth. I hope she wins.

The lounge singer tonight was on fire with his little mermaid rendition.

Soup dumplings are amazing and order the whole redfish. Magic!","Food - Soup Dumplings (amazing), Redfish (magic)||Ambiance - Lounge singer was on fire||Service - Friendly and attentive "
1618 Asian Fusion,"One of the best restaurants in Austin. I go here almost weekly and everything on the menu is good. The service is amazing. And you will. Just have a great time.

My favorite things to order are the filet mignon, stirfry onion and the filet mignon pho as well as the soup dumplings and their Thai tea.","Food - Filet Mignon (good), Stir-Fry Onion (good), Filet Mignon Pho (good), Soup Dumplings (good), Thai Tea (good)||Service - Amazing||Ambiance - Great "
1618 Asian Fusion,"Great food, good service and good for any type of gathering. It is a quite area for lunch, perfect for a date.
Loved the shrimp balls.",Food - Shrimp balls (loved)||Service - Good||Ambiance - Quiet 
1618 Asian Fusion,"OMG where do i begin. Came because my friend told me the salt and pepper shrimp was to die for....,, After ordering those, the duck chicirones , the beef rib pho and the shrimp and pork belly fresh rolls i think its safe to call this my favorite place. The best part though was Hanna she was our server and boy did she serve.... Personality, kindness, patience and  humor. Love her!!!Wish I could put her in my pocket.  We asked to speak to the manager to sing her praise and John ( the manager) was awesome too. From door to table, chef to management this place was all around amazing. We will make this a regular for us. I didn't even mention the delicious drinks but im running out of characters. Lol

Dont take my word for it GO NOW!!!! You wont be disappointed","Food - Salt and Pepper Shrimp (beautifully presented, tamarind sauce is a bit too much), Duck Chicharon (nice crispy skin, tender meat), Beef Rib Pho (rich broth, tender beef), Shrimp and Pork Belly Fresh Roll (tasty filling, nice fry)||Service - Amazing||Management - Awesome||Ambiance - Nice "
1618 Asian Fusion,The food was phenomenal and the service was very attentive and skilled in what they do. The vibe of the place was very nice too. I never thought I'd go out of my way to get rice as a main entree until now.,"Food - Egg rolls (nice fry), Shrimp Panang Curry (started great but got sweeter, needed some acid to balance sweetness), Vegetable curry (started great but got sweeter, needed some acid to balance sweetness)||Menu - Huge||Service - Attentive and skilled||Vibe - Nice "
1618 Asian Fusion,"Best restaurant in Austin for a Friday night.

Make a reservation weeks in advance!!","Food was amazing!! The oxtail in the oxtail pho was so dam good!!! And the meat was so tender! They pour the broth in front of you and it smells so dam good! Then they give you a bowl with rice and you can help yourself to the meat and the broth.
"
1618 Asian Fusion,The food was decent. Nothing out of the ordinary. Had a Dim sum to start with. Found the chicken filling a bit dry and not well seasoned. Then ordered the general Tso chicken and Thai Tum yum coconut fried rice. The general Tso chicken was too saucy and the fried rice didn't quite tickle my palate. The presentation was good. Finished off with an Ube panna cota. That was delightful. The best dish out of them all. Probably the only reason other than service to give them a 3 star!,"Food - Dim Sum (dry and not well-seasoned), General Tso Chicken (too saucy), Thai Tum Yum Coconut Fried Rice (didn't tickle palate), Ube Panna Cotta(delightful)||Service - Good||Ambiance - Good "
1618 Asian Fusion,"Food came out late and it wasn't even hot anymore. Flavors were so-so for someone born, raised, and lived our whole lives in southeast asia. Xiao long bao was sour. This is the first time I've had a sour xlb so I hope it wasn't spoilt. I do recommend their mango sticky rice.","Food came out late and it wasn't even hot anymore. Flavors were so-so for someone born, raised, and lived our whole lives in southeast asia. Xiao long bao was sour. This is the first time I've had a sour xlb so I hope it wasn't spoilt. I do recommend their mango sticky rice. [/INST]"
1618 Asian Fusion,"Driving by, I wouldn't have thought this restaurant would be so busy! It was packed from the moment we got there for happy hour, on a Monday, until we left mid dinner service. They had walk-ins on a waitlist, so I would recommend making a reservation in advance. They had a list of $6 cocktails on happy hour and a small list of bites as well. The HH bites didn't catch my eye, so we ordered from the main menu.

Drinks: We ordered the lychee martini and an old fashioned. They do have a smoked old fashioned with fig bitters that has a fancy presentation, but it runs about $20. We went for a regular old fashioned and it was one of the best I've had in a while. I've had lychee martinis before, but didn't quite care for this one.

Food: We asked if the crab in the coconut fried rice was imitation, and they were honest and said yes, which we appreciated. Instead, we ordered the pineapple fried rice, serve in half a pineapple. It was good, but quite spicy so keep that in mind. The lamb was also tasty and had a unique sauce we both enjoyed. The sampler plate was fun because we rated each item 1-5 based on our personal tastes, and we each rated different items higher. It gave us a chance to see what we might enjoy before ordering our entrees.

Overall, the service was good. My only recommendation would be to train the server on the menu a little more.  Every question we asked him, he had to go find out the answer. Overall, it was a fun experience for a birthday dinner and we surprisingly got a free dessert!","Food - Pineapple Fried Rice (good but spicy), Coconut Fried Rice (good but spicy), Lamb (tasty unique sauce), Sampler Plate (fun, ratings not consistent), Lychee Martini (not good), Old Fashioned (one of the best)||Drinks - Smoked Old Fashioned (fancy presentation, high price), Lychee Martini (not good)||Service - Good, untrained||Ambiance - Packed, busy||Menu - Huge "
1618 Asian Fusion,"We had a huuuugee party of 15 and 1618 asian fusion was accommodating and great service. Amazing drinks, vibes, and food. All round a 5  place to eat. Everyone enjoyed their food and there was a wide range of picky eaters to easy going eaters. They accommodate all types of pallets. They have a dish that is like shaking beef (onion filet mignon) and it was absolutely delicious. Their fish dish was amazing as well with curry in a coconut sauce and their apps of shrimp balls and sugarcane shrimp were delicious.",Food was great||Service was great||Accommodations was great 
1618 Asian Fusion,"Hanoi coffe and cheesecake are great here. One of those things that are worth the calories in my opinion.

The Hanoi coffee has this egg custard + coffee combination I hadn't tried before. The coffee has just the right amount of sweetness in my opinion. I usually drink black coffee so I don't like overly sugary coffees. This has the perfect balance of sweet and bold.

Cheesecake is such a selling point for this place. The cheesecake is more Japanese style so it's very fluffy and airy. It's also huge!! Honestly worth it to just come for an afternoon coffee and dessert.

I'll have to come back and add a picture. I will be back just for those two things on the menu. ^^^","Food - Hanoi Coffee (excellent, worth the calories), Cheesecake (huge, worth trying)||Ambiance - Cozy and inviting||Service - Friendly and attentive "
1618 Asian Fusion,This place had very modern and nice decor. Was a great place to have lunch with some coworkers. We all enjoyed our dishes and I really recommend the pineapple fried rice. It had a good spice level(as long as you enjoy a little heat) and liked the shrimp and duck combination. Our server was very friendly and attentive. Also enjoyed the Thai iced tea it was quite refreshing.,"Food - Pineapple fried rice(recommended), Shrimp and duck combination (good), Thai iced tea (refreshing)||Decor - Modern and nice||Service - Friendly and attentive||Ambiance - Great "
