Comments,Output
"If you haven't been here this is your SIGN! Somehow after two years in Austin I hadn't had time to check this place out and boy am I regretting it!

Decent amount of free parking near the Amli, we didn't have any issues finding a spot. The place itself feels kind of tucked away, yet you wander in upon this oasis.

The space itself is open and filled with live plants everywhere and beautiful decor. The staff was extremely attentive, friendly, and provided great suggestions around popular dishes or their personal favorites. We had Eric and he was phenomenal!

For the meal we ordered the chicken dumplings, yellow curry, pad Thai, and the appetizer assortment bc who doesn't love apps! I can't even describe the flavors, the curry was some of the best curry I've had hands down. The app platter was 100% the way to go, lots of food, not too expensive, and you get to try one or two of each item!

I will be back and will be bringing family friends you name it, this place is a gem in Austin.","Food - Chicken dumplings (solid, packed with flavor), Yellow curry (best curry), Pad Thai (powerful flavor), Appetizer assortment (favorite)||Service - Extremely attentive, friendly, great suggestions||Ambiance - Open, filled with live plants, beautiful decor"
"Honestly, the only high end restaurant in town that is worth the money that you are paying for. The dishes are infused with flavors. Each bite is flavor explosion in your mouth.

Ambience : Dark, high end , perfect for a date night or casual celebration.

Parking : Parking lot provided or you can park in the garage near by

Flavor : 10/10 !","Food - Flavorful||Ambiance - Dark, high-end, perfect for date night||Parking - Available"
"This is my second time here. I love this place so much. I love the food, the flavor is so so yum. The flavors are so scrumptious and I can't wait to return again. The ambiance is so so nice. They had live music on Thursday night. It was really entertaining. The waiter was so nice and explained all the desserts so well. Really liked the service. We ordered chicken dumplings as an appetizer, i ordered the salted pepper shrimp and it was my husbands birthday so we got the chocolate mousse cake. Everything came out warm and at a good time. Cant wait to keep returning to this gem in Austin!","Food - Chicken dumplings (nice and plump), Salted pepper shrimp (tasty), Chocolate mousse cake (favorite)||Ambiance - Nice, live music||Service - Nice waiter, thorough explanation"
"Tried this restaurant and absolutely loved the food. Overall quality of the food was so good. Absolutely delicious. The service was great, as soon as we were seated we were asked if we are returning or new to the restaurant. Following this the menu was throughly explained to us and any questions I had. Great service and explanation to the menu! For an appetizer i got the chicken dumpling. Great dumpling and yummy filling inside. For my drink i ordered the iced thai tea. It was a hit! I got the pad thai and it was really yum. The serving size was a great portion ( had leftovers i could take home) The flavor was powerful and i really enjoyed my meal. I will for sure be a returning customer. Loved it, a must try if your want asian fusion.","Food - Iced Thai tea (favorite), Chicken dumplings (great), Pad Thai (yum, powerful flavor)||Service - Great, thorough explanation"
"I'm definitely adding this to my list of place I must go to whenever I'm in Austin. The food and drinks were amazing!

I started off with the 1618 shrimp and pork egg rolls. They were solid and packed plenty of flavor.

For my main I has the Tom Yum Coconut Fried Rice.  This was some of the best fried rice I've ever had. It was the perfect portion size, the shrimp were massive and it was so damn good! I love the presentation in the coconut, although it does make it a bit difficult to cut up the shrimp.

My cousin had the Shrimp Panang Curry and it was really good.

We also enjoyed the mimosa special they offer during lunch. It's not advertised but the hostess mentioned it when seating us.

Overall service was good. It took a while for the waitress to  take our order but otherwise no complaints.

The inside is also really nice. I definitely enjoyed the vibe.

They have an expansive menu with different items from different parts of Asia. You're not limited to one particular region which is what I really enjoyed.

I'm looking forward to returning and trying the dim sum brunch.","Food - Shrimp and pork egg rolls (favorite), Tom Yum Coconut Fried Rice (best), Shrimp Panang Curry (really good)||Ambiance - Nice vibe, filled with live plants||Service - Good, slow to take order"
"The $50 I spent on food, I received 4 SPOONFULS of rice, grossly overcooked orange chicken, egg rolls that were of laughable proportions and red curry that had zero spice. No sauces were in my order. First and last time I'm ever ordering from here.","Food - Rice (Small portion), Orange chicken (overcooked), egg rolls (laughable proportions), Red curry (unflavorful)"
"Love this place. We went here for Sunday brunch to celebrate my Birthday. We had Soup Dumplings, Filet mignon Curry & Red Snapper w/ their special sauce on the side, to ensure the fish stayed crispy We also had dessert w/ a tableside show Flaming Cheesecake & they also gave me a Key-lime pie compliments of the restaurant for my Birthday. We look forward to coming again when we visit Austin","Food - Soup Dumplings (great), Filet Mignon Curry (great), Red Snapper with special sauce (great), Flaming Cheesecake (good)"
"The food was phenomenal. I made reservations for 2 in the evening and we came a little early but they still got us a table and everything we ordered was great ! The dragonfruit refresher was so good ! We also had the 5 sampler, watermelon duck salad and crispy pad Thai steak. The meat was so tender and full of flavor I will be coming back for sure when I visit again !
And also our server Emily was so nice!","Food - Dragonfruit refresher (good), Sampler platter (favorite), Crispy pad Thai steak (tender and flavorful), 1618 shrimp and pork egg rolls (solid), Tom Yum Coconut Fried Rice (best)||Ambiance - Nice||Service - nice"
"Food was spectacular (get the yellow curry) and Thuk, our server was so sweet, knowledgeable to the menu, and gave a personal experience which made our visit worth everything! Will definitely be coming back soon.

Management even came to check and see how everything was and had a good laugh as well.","Food - Yellow curry (favorite), Thuk (great)||Service - Sweet, knowledgeable, personal experience"
"Full of savory!

Went to this place for dumplings but we end up ordering General Tso and Duck Red Curry. General Tso was one of the favorites and never had a good General Tso like this here in Texas. It hits all the criteria - the freshness, the spice, the crispy chicken, and the sauce! On the other hand, duck red curry was as legit as it can taste. Been jumping to different asian restaurants and we can say this is one of our top asian restaurants.

We really enjoyed the place from the food, service, and the ambiance. The food was worthy of the price and the portion was enough. It is very neat and clean, good for casual or formal gathering.","Food - General Tso Chicken(fresh, crispy), Duck Red Curry (legit)||Ambiance - Nice, good for gatherings||Service - Good"
"This is truly an amazing restaurant!
Great customer service and superb flavor in all their cuisine.
I can't believe we don't have this in LA!

Pineapple fried rice is not too spicy but the spices used really entice your palate.

Chicken dumplings were nice and plump and packed fresh ingredients that didn't disappoint.

The top dish was the cheesecake flambÃƒÂ© because it was an experience. You can taste every bit of flavor down to the flame! This is to die for!

I'll definitely come back when I visit Austin again.","Food - Pineapple fried rice (enticing), Chicken dumplings (plump and fresh), Cheesecake flambé (flavorful)||Service - Great"
"This is just a cute place in downtown! The decor is very modern and the servers are very helpful and friendly.
Family decided to start with the five sampler and we were amazed. Everything, I repeat everything was delicious! From the skewers that had a very different sauce to the spring rolls, which we usually are not fans as we had never found one that has real taste, but this one is really good.
For mains, the family decided to go with the pad Thai and the duck fried rice. The duck was perfectly cooked with crispy skin and tender meat. It was also well seasoned. For the pad Thai, the server mentioned that the spice level was a 2 out of 5, but we'd say it was a 3. If you're not very familiar with spicy flavor what h out for this one. Portions are big and presentation is very good.
My daughter also ordered the cafe and she liked it.
A big bonus: this place is pet friendly! Seeing some dogs in the main dining room brought a huge smile to my face! Kiddos to the owners. Dogs make every space better","Food - five sampler (amazing), Skewers (good sauce), Spring rolls (good), Pad Thai (spicy), Duck fried rice (perfectly cooked, well-seasoned)||Ambiance - Modern decor||Service - Helpful, friendly"
"Came out for a hh with coworkers and we had the best time! Graham was the greatest, will have to come back when he is behind the bar. They even have a small stage, and the music was the cherry on top",Ambiance - live music||Service - excellent
"To start off, 1618 had some of the best service I've experienced in a while. We were seated promptly without a reservation and shown to a roomy table in the middle of the dining area.

The interior is beautiful with a mix of hard and soft surfaces making it conducive to hearing your dinner guests instead of feeling like you're in an echo chamber. The lighting and music were set reasonably, which was an added bonus.

The food was very good. Everything was served at the proper temperature with dipping sauces (my favorite!) to balance each bite. The orange chicken was not too sweet, and definitely not spicy. The duck skewers were a great value for the money and were my personal favorite of the dishes we had.","Food - Orange chicken (great), Duck skewers (great value, favorite)||Ambiance - Beautiful interior, conducive for conversations||Service - Prompt seating, attentive"
"Service here is always great, we're not big on happy hour dishes but the cocktails are really good, the pad Thai chicken is one of our favorites as well as the pineapple fried rice and the best miso soups","Food - Pad Thai chicken (favorite), Pineapple fried rice(favorite), Miso soup (favorite)||Drinks - cocktails really good||Service - Great"
"To start, we ordered the calamari and the dragonfruit rose refresher, both of which were delightful. The calamari was perfectly crispy and flavorful, while the refreshing dragonfruit rose refresher was a great choice to complement our appetizer.

For my main dish, I opted for the Pineapple Fried Rice, and it was absolutely delicious. The combination of juicy pineapple, tender rice, and well-balanced flavors made it a standout dish. I thoroughly enjoyed every bite!

What made the experience even better was the exceptional service from our waiter. They were genuinely nice, attentive, and ensured that we had everything we needed throughout our meal. Their friendly and professional approach added to the overall enjoyment of our dining experience.

The ambiance of 1618 Fusion was also noteworthy. The music playing in the background created a pleasant atmosphere, and the overall vibe of the restaurant was on point. It contributed to a relaxed and enjoyable evening.","Food - Calamari (crispy and flavorful), Dragonfruit rose refresher (refreshing), Pineapple fried rice (delicious)||Service - Exceptional service from waiter, friendly and professional||Ambiance - relaxed, enjoyable "
The food was really good. They don't do much substituting but the taste is really nice. Love the ambiance. Key lime pie was outstanding,Food - Key lime pie (outstanding)||Ambiance - Loved
We love the Dim Sum brunch here! Especially the Xiao Long Bao and Sui Mai! Shyra was a wonderful waitress as well,"Food - Xiao Long Bao(loved), Sui Mai(loved)||Service - wonderful"
"1618

1618 is hands down one of the best restaurants in Austin.

I have been here probably 10-15 times by now and the food never disappoints.

They have an unbelievably good happy hour ($6 cocktails!) and the food is overflowing with flavor.

I have had just about everything here but i would recommend going with a Curry (yellow is my favorite) and either Pad Thai or a Filet Mignon Stir Fry.

The desserts are nothing to be missed too. I have had the chocolate cake (not the exploding lava one) and it is just immaculate.

Probs to this family owned business for making an unbelievably tasty offering at a solid price point! The atmosphere is so great as the restaurant is packed 24/7!","Food - Yellow Curry (recommended), Pad Thai (recommended), Filet Mignon Stir Fry(recommended), Chocolate cake (immaculate)||Ambiance - Packed restaurant, great atmosphere"
"One of the best combinations in town for Flavor, Ambiance and Service.  Keep going back there for their Dim Sum and live music!",Food - Dim Sum brunch (favorite)||Ambiance - live music
"I usually never leave yelp reviews but wanted to leave one for my girl Shaira who was so great in terms of the service. The vibe is amazing, you will love it here. Great for dates, literally anything I came alone and had a great time. I had the five sampler because I wanted some bao buns and honestly I took a chance because I don't really eat meat. I didn't enjoy it much but I think it really just depends on what you like. I did enjoy the calamari very tasty. The THAI ICED TEA AND THE MANGO STICKY RICE were literally TO DIE FOR. Highly suggest those. Thank you Shaira and to this place for great late night vibes. Shaira did say the crispy chicken pad Thai was bomb and I didn't get to try but honestly I suggest it lol. I know it would be good","Food - Five Sampler(good), Calamari (very tasty), Thai Iced Tea and Mango Sticky Rice (highly recommended)||Service - excellent, amazing vibe"
"If they have a membership program, I'll probably become a gold member soon. I come here every week and try out new dishes every time.
Eruption chocolate: huge portion. You might want to share it with someone. It's not a 5-star though. There's not much chocolate oozing out of the cake. It's a little bit too sweet.
Crab fried rice with truffle: it's not on their regular menu. You will find it on happy hour menu. It's amazing. The portion is not too big, but it's an enjoyable size","Food - Eruption chocolate (huge portion, bit too sweet), Crab fried rice with truffle (amazing)||Ambiance - Enjoyable"
"Duck curry: yummy. Perfectly balanced. It's not too greasy. I wish there's more duck meat though.

Coconut fried rice: coconut smell overwhelmed in a good way.

Duck dumpling noodle: it's a 6/5 dish. There's nothing to complain about. It's authentic. Again, I wish there's more duck meat though, but duck is pricey to begin with, so I understand why they didn't put too much in.

Pho 75 during happy hour: BE AWARE. the portion is for kid (or merely an appetizer for an adult). The bowl is super tiny. I can't complain on the quality though, it's not authentic but still super tasty.

Mount Everest Cheesecake: it comes with a show. They burned the wine on the cheesecake and then extinguished the fire with ice cream. It's super delicious though. It's a bit pricey but you will get a whole show. I say it's so worth the price.","Food - Duck curry (yummy, perfectly balanced), Coconut fried rice (pleasant coconut aroma), Duck dumpling noodle (authentic, exceptional), Pho 75 (small portion, tasty), Mount Everest Cheesecake (delicious, bit pricey)"
"I think I made a bad choice, Both dishes are full of coconut flavors, so together it's super fatty (in a good way though).
This is a nice fancy Asian restaurant, but the price is still very reasonable for the quality.
The restaurant is huge. It's well decorated.
10/10 for the service. Everyone is friendly, from the host to the server to the bartender. There's nothing to complain.
I'll be back to try the Peking Duck and the dessert.
I saw a plate of lava cake and ice cream, it look too good to be true, unfortunately I was to full to try it. There will be a next time.","Food - super fatty||Service - perfect, friendly||Ambiance - well decorated||Price - reasonable"
"I measure an Asian restaurant by how they make their Pad Thai and this place makes a delicious Pad Thai. It was the right amount of tangy, spicy and crunchy. Our server Ana was very friendly and accommodating. Thank you.","Food - Pad Thai (Delicious, right amount of tangy, spicy, crunchy)||Service - friendly, accommodating"
"At this point, I'd consider myself a regular. 1618 is always one of the places I recommend friends visit and it's always somewhere I bring family.

The food is not too expensive, the ambiance is relaxed but lively and the staff is amazing - especially Christian and our waitress!

The Calamari is amazing and they have the best duck! I'll definitely be back.","Food - Calamari (amazing), Duck (best)||Service - Amazing||Ambiance - relaxed, lively"
"This unassuming strip mall (with limited retail parking) under the AMLI apartment building off Riverside Drive went under my radar for far too long! I'd ordered some 1618 via ubereats, and when that went well (but not before showing up unannounced to discover this spot already had enough street cred to generate a sizeable wait time), we called ahead and found free spots at the bar one night to have our maiden in-person experience here!  

From the dÃƒÂ©cor to the hospitality, the mood was set. Loved the interesting lines of the interior design and the wine room in the midst of the dining room! There's even a stay for... live music and other acts?! Yesss!

And on to the food. Since we'd had to wait a hot minute, we decided to share a smattering of options. And when I say this place has food on par with Lin Dim Sum and Julie's Noodles, I MEAN IT!

The scallion pancakes are instantly (and maybe permanently) my favorite of anywhere I've had them. Usually super-thin and crispy and far from substantial, the scallion pancakes here were pillowy-soft, dimensional, and oh so divine!  Will ALWAYS get more in the future! -- 14/10

The pork, shrimp & shiitake Sui Mai (3-pc order) were ample and well filled, but I've just never been big on this flavor combo, though I'd still say they were ""pretty good"" -- 8/10

Now dem Xiao Long Bao (5-pc order)... holy pork soup dumplings on a spoon...!  I'd say on par IF NOT BETTER THAN Lin/ Julie's. Bigger bite for sure, and I think I could easily take down a few orders solo!  Definitely contenders here, and they've got these on the Dim sum brunch menu for a STEAL at $11! -- 14/10

The clay pot sticky rice I was ""meh"" about, I think mainly because I'm not big on Chinese sausage... but my honey liked it quite a lot!  -- 7/10 (for me)

Mango sticky rice was served beautifully, but I didn't love it. I dunno why... I'll try it once more before I even rate it..  maybe it just failed to be amazing following one of the best desserts of my life--

The Flambeau Everest cheesecake, fired with vanilla honey liqueur, cinnamon is sprinkled over it as the flames engulf the plate & topped with a scoop of coconut pineapple ice cream...... OK I need to go get another one soon after describing it alone!  I am a cheesecake aficionado, and this one absolutely, unequivocally takes the LITERAL cake!  What a whirlwind of unexpectedly epic deliciousness on a spoon!  -- 15/10

Seriously.
Deliriously.
Divine!","Ambiance - Interesting interior design, live music||Food - Scallion pancakes (favorite), pork, shrimp & shiitake Sui Mai (ample, well filled), Xiao Long Bao (delicious), Sticky rice (meh), Mango sticky rice (beautifully presented, didn't like), Flambeau Everest cheesecake (delicious)||Service - Great"
"Took my family for an early Mother's Day. The live music was amazing and created an amazing vibe for the restaurant. It is such a homey yet up-scale place that was beautiful.

We ordered calamari and grilled octopus. The batter for the calamari is soooo good and the salt,pepper,lemon dip adds the best type of flavor. The grilled octopus was on a stick and had a good Smokey flavor. Both great. We also ordered the papaya salad with shrimp. It was very refreshing and crunchy with the fish sauce smell but not super overpowering fish sauce taste. Very good!

For mains we got the L redfish and duck fried rice. So so so good. Only thing is I wish the tables were a little bigger since their food is a lot of family style options. But the food was amazing. The redfish belly was so so caramelized and crispy. I will now always crave this. The fried rice was good flavor. Very authentic since I'm very picky about fried rice. I was able to take both's leftovers to go and it was just as good the next day. We also got some stir fry which has good flavor and came with white rice.

We ended with the flaming cheesecake. Our server did it table side and it was an entertainment in itself. Very good and light.

Our server was great as all. Very attentive. The place is pretty busy so he was always running around, but overall he was able to answer all our questions and keep us satisfied for dinner.

Highly recommend this place","Food - Calamari (delicious batter), Grilled octopus (good smokey flavor), Papaya salad (refreshing), L Redfish (caramelized, crispy), duck fried rice (amazing), stir fry (good flavor), flaming cheesecake (very good, light)||Ambiance - Homey yet upscale, live music, great vibe||Service - Great, attentive"
"Management - Please Read! Nobody needs or wants to hear a violin at 1000 decibels as they try to have dinner on a Thursday night in an Asian restaurant. It's piercing, it's annoying. Even worse it's so off tune. The severs are yelling at you. The music is way over amplified. If I wanted to go see a concert I'd be at a concert. Otherwise I love this place and I'm so bummed that management lacks any sort of sense of what a guest wants to experience when coming out for a nice dinner. This is TOO much.",Ambiance - music is too loud and off-tune
Red curry with duck was great. I made it a little bit spicy (4/5) and it has a great kick. Great portions too. Thanks to Shaira for the great service.,"Food - Red curry with duck (great, spicy, satisfactory portion sizes)||Service - great"
"Very delicious. Their weekend brunch is great too.

My favorites:
The beef vermicelli noodle. The flavor is umami rich.
Their house fried rice.
Bun with egg yolk - sweet.
Soup dumplings on the weekend.

Very good service too!!!","Food - Beef vermicelli noodle (rich flavor), House fried rice (delicious), Bun with egg yolk (sweet), Soup dumplings (favorite), weekend brunch (great)||Service - Very good"
"The food was ok, but nothing spectacular. I have probably been spoiled by Cali Asian cuisine. I have had much better. Don't let the high ratings fool you too.

We ordered the appetizer sampler. My companion hated the pork and gave them all to me. I thought the best item was the egg rolls but how can you screw those up. Papaya salad was good but again, pretty standard Asian fare.

Service was ok. Server was a bit robotic when we were asking for recommendations.

Restrooms were nice but smelled weird. Skip and go to some place else.","Food - appetizer sampler (mixed reviews), Papaya salad (good), Egg rolls (best item), Pork (hated)||Service - Okay, robotic server"
"1618 Asian Fusion is an upscale Asian fusion restaurant that takes the best parts of common Asian dishes and elevates them.  This is not your mom's Vietnamese pho, and that's a good thing.  Some purists may not like the elevated twists, but to me 1618 is worth a visit.

My Overall Rating - 4 Stars (Atmosphere, Service, Food, Return)

Atmosphere - On the outside, 1618 Asian Fusion is as unassuming as it's name.  But inside it's a large, open space.  There's a desk dedicated to To Go orders (expertly packaged), and a stage that features live entertainment.  We were treated to a fantastic acoustic set which really accentuated the cool vibe.  1 Star.

Service - Our server was very good.  Attentive, friendly, and a great conversationalist.  No issue at all.  I would have liked the servers to explain the dishes that we ordered, since this is a high end restaurant with unique dishes.  1/2 Star.

Food - The word Fusion is in the name of the restaurant because Asian Fusion serves dishes inspired from many Southeast Asian Countries like Vietnam and Thailand.  I started with the Fried Calamari, which is served in a traditional Vietnamese style. The outside was light and crispy.  I loved it because it was the perfect example of taking a traditional dish and elevating it.  The Pho Rib is served with huge beef ribs and the pho broth is poured over in a tea kettle.  Again, this is not your mom's pho.  It was elevated and familiar at the same time.  The only letdown was the Pineapple Fried Rice.  It was just ok - order it for your IG feed, not your belly.  I have to give a bonus shout out to the To Go order.  We ordered a Pho Combo to go, and they expertly packaged it up.  Finally, Asian Fusion isn't cheap.  Don't except to eat the pho every day.  1  1/2 Stars.

Will I Return? - Yes.  The atmosphere is great.  The service is great.  The food is familiar and unique at the same time.  There are many more dishes I want to try.  I'll be back. 1 Star.

My Yelp Rating Scale (Sum of all parts):
1 Star - Atmosphere - Is it a cool dive?  Perhaps an upscale place?  No matter the type, atmosphere plays a big part and I'll give a star if I like it or thinks it has great charm.
1 Star - Service - You can have a great meal with bad service.  But that's also what can make a five star joint drop to four.  It's important to the dining experience that service is great and on point.
2 Stars - Food - I'll award up to two stars for the food, since this is the main reason we dine out.  Sometimes the extra star is given for value, but it's really all about the food.
1 Star - Will I come back? - If I know for a fact I'll return, I'll give this a star. A place has to make an impression for me to return.

Each Category can be given up to 1 star except food (2 stars) because I consider all these categories important to the overall dining experience.  I will sum them up to provide my final Yelp score.","Food - Fried Calamari (perfect example of taking a traditional dish and elevating it), Pho Rib (elevated yet familiar), Pineapple Fried Rice (just ok), Pho Combo (expertly packaged)||Ambiance - Large, open space, live entertainment||Service - Attentive, friendly, didn't explain the dishes"
"One of thee best asian Thai restaurant in austin!!  I come in once a month for sure!!  or every other week!! Service fast friendly! Cute Ambiance , comfortable seating with good vibe! some nights a band plays music so beautifully .
My food rating out of 5!

Tom Yum- 5/5
Banana, salmon-5/5 i  got my sauce on the side
Coconut rice / 5/5
Lamb /5/6 cook just right!!
Drinks always made good!

Definitely recommend coming here!","Food - Fried Calamari (light and crispy outside), Pho Rib (elevated, huge beef ribs), Pineapple Fried Rice (just ok), Tom Yum (high ratings 5/5), Banana salmon (high ratings 5/5), Coconut rice (high ratings 5/5), Lamb (ratings 5/6)||Ambiance - Cute, good vibe, live music||Service - Fast, friendly, attentive"
The food was AMAZING!! Our server Yvonne was so great! Very attentive and super friendly! We will definitely be coming back.,"Food - AMAZING||Service - friendly, attentive"
"Very solid! I was a bit skeptical to be honest given the fusion aspect of this place with its broad pan-Asian menu but consider me impressed! The oxtail in the oxtail pho was cooked well and the meat was incredibly tender. I'm looking forward to trying the beef rib pho next time (though I might need to show a bit earlier since apparently they run out of it).

My friend had the crispy chicken pad Thai and I thought that dish was definitely a standout. I normally am not big on pad Thai but in all honesty, it didn't taste like pad Thai at all (which to me was a good thing). It was definitely a crispy version of something Thai-tasting but without the sour flavors of fish sauce and vinegar, so maybe more like a crispy pad woon sen or crispy pad thai? Either way, it was A+.","Food - Oxtail pho (cooked well with tender meat), Crispy chicken pad Thai (standout, not like traditional pad Thai, very delicious)"
"After my first visit I wasn't sure if I would return, I did. And I couldn't be more pleased! The dragon fruit drink was beyond delicious! The jasmine syrup was a bit too much. The spices were absolutely DIVINE! The waitstaff was attentive, respectful and all round stellar.
The only negative was the packed house was extremely hot. And the flamed drinks and burning of spice over cheesecake was difficult to tolerate. Being an asthmatic it was difficult to enjoy meal but I pushed through. I would ask they be mindful of guest that can't inhale smoke or are allergic to toxic smoke from burning food items. Covering the windows make eliminate excessive heat. Otherwise a well worth visit!","Food - Dragon fruit drink (beyond delicious, jasmine syrup a bit too much, spices DIVINE)||Service - Attentive, respectful||Ambiance - Nice, extremely hot inside"
"It took over 30 minutes to actually receive my original order. If waitstaff would just  ""listen"" vs leading a guest request, I would had the chance to actually taste my entree without a second order.","Service - slow, long waiting time for order, not attentive"
"1618 is great! A few stand out dishes I've had are the Vietnamese bowl with pork and egg rolls, and the soup dumplings. The soup dumpling broth was SO flavorful. Some of the classic dishes like sesame chicken and orange chicken aren't really worth the upcharge of it being in a more upscale restaurant since it tastes the same as any other Asian restaurant really. Ambiance is nice - we went on a Friday night and there was live music. Definitely a must visit for Asian food in Austin!","Food - Vietnamese bowl with pork and egg rolls (standout), Soup dumplings (flavorful broth), sesame chicken and orange chicken (not worth upcharge)||Ambiance - Nice, live music"
The food was great!! And Yvonne was an excellent server. I highly recommend the lemongrass pork spring rolls,Food - Lemongrass pork spring rolls (highly recommended)||Service - Excellent 
"I heard 1618 Asian Fusion is the sister restaurant to 888 Pan Asian Restaurant, so I had to try it out!

Coming in, the service is amazing. We checked in through our reservations made on Yelp and we're seated immediately. If you were a walk-in, there was about an hour wait. The restaurant was fancy and very nice, we also had live music! What I loved about the live music was that it wasn't so loud to where my table couldn't hear each other, it was great!

My family ordered Mi Kho, Filet Mignon Pepper Steak, Combo Fried Rice, Thai Crispy Red Snapper (size L). From all of the food we ate, the Thai Crispy Red Snapper was the best; It was large, crispy, and the tamarind sauce was yummy! The Filet Mignon Pepper Steak came second, the steak was delicious. The conbo fried rice was okay, not the best but good. The Mi Kho unfortunately was not the greatest; The sauce was too strong and it just tasted like someone poured a lot of soy sauce and the pork belly was off, it tasted like tofu.

Overall, I would come back to try more different items like their pho (which they're known for)! I would recommend the Red Snapper for sure :)","Food - Thai Crispy Red Snapper (best, large, crispy, yummy tamarind sauce), Filet Mignon Pepper Steak (delicious), Combo Fried Rice (good), Mi Kho (not the greatest, sauce too strong, port belly was off)||Ambiance - Fancy, live music, not too loud"
"Food (5/5 stars):
1618 Asian Fusion made it to Yelp's Top 100 US Restaurants list, so we had to try even though we had to get takeout and eat it on the plane  Their Pad Thai was an explosion of flavor -- citrus, spice, nutty, savory, sweet. And the tofu was cooked very well. It wasn't my absolute favorite Pad Thai, but it was still amazing and would want to try their eclectic range of dishes when I'm back in Austin.

Experience (5/5 stars):
* Price: kinda pricey, but worth
* Wait Time: we scheduled our takeout and it was on time
* Service: very good and friendly
* Ambiance: it's a nice, modern restaurant!","Food - Pad Thai (explosion of flavor, favorite), Tofu (cooked very well)||Price - high||Service - very good||Ambiance - nice, modern"
"Definitely late to the party coming here but so glad we did make it here on Valentine's Day. The place was decorated with hearts and 80's ballads were playing.

We started off with the 1618 egg rolls. Love the presentation of the dish and the egg rolls are definitely not what I expected. The rolls were tasty and crispy. Next, we tried the soup dumplings. Delicious. I like that they gave us a plate with sauces to dip in. Presentation was definitely on point with the next dishes. We tried the Tom yum fried rice, four seasons duck and pepper steak. Everything was full of flavor and I was worried about the duck being sweet with the lychee. It was not at all. It was very good. I am always afraid of trying Asian fusion places, but this place knows what they are doing. Presentation and flavor did not come short. They offer free garage parking.","Food - 1618 egg rolls (tasty and crispy), Soup dumplings (delicious, flavorful broth and sauces), Tom yum fried rice (flavorful), four seasons duck (flavorful), pepper steak (flavorful)"
"This restaurant is such a gem. In a shopping center with apartments above it, pretty limited parking, but always busy and for all the right reasons.
Ambience 10/10
Drinks 10/10
Food 10/10
Service 10/10
Do I need to say more? We have visited the restaurant a few times, and always had exactly the same top-notch experience. This restaurant does not have an ""off"" night. During one of our visits, we chatted with a waitress who said she's been working there for a few years and has no plans on leaving because she's been treated right by the owners. That just shows how good management trickles into all aspects of the business.
If you have never visited 1618, please make reservations and go. You will love it. Plenty of options for vegans and meat eaters. Amazing deserts. Highly recommend.",Food - 10/10||Ambiance - 10/10||Drinks - 10/10||Service - 10/10||Parking - limited
"1618 is always a solid restaurant. I remember the first time I went years ago, I was a bit skeptical as anything fusion usually tends to not be good when you try to do everything... 1618 is the exception to this. Despite doing a span of different Asian dishes, everything's is always consistently good. I have had their chicken red curry (beautifully plated with unexpected mushrooms), Peking duck (one of the best I've had, filet mignon pho (the most tender cut I'd meat), crispy fish (really unique with DIY rice rolls), among others...

I have also been for dim sum, which while good, is a bit overpriced. I prefer their regular menu.","Food - Chicken red curry (beautifully plated, unexpected mushrooms), Peking duck (one of the best), Filet mignon pho (tender), Crispy fish (unique with DIY rice rolls), Dim sum (good but overpriced)"
"This restaurant wholeheartedly deserves its spot on this year's Yelp 100.

I went last month for a business dinner while in Austin. It must have been at least a dozen of us, so they gave us a snazzy private room. We even had our own waitress, Jen, who somehow coordinated others to help her and we never wanted for anything.

So we went on a Wednesday on a reservation. Would probably suggest you making a reservation, especially given this restaurant's latest news of being on the Yelp 100. It is busy, busy!

On Wednesdays, they have some happy hour where you get major deals on wine. We did not partake, given the context of the dinner, but some did join in with a cocktail or two. I abstained. I'm admittedly not much of a drinker.

While I cannot tell you what every single person ordered, I can tell you that a month later, we are still dreaming about their soup dumplings. While I may have had some before, they don't compare to the ones at this restaurant. They are perfectly seasoned and just like having little savory marshmallows in your mouth (if such a thing exists, after all).

We had some other appetizers, mainly a platter with variety including other dumplings, fried goodies, and I forget what else. For our entrees, pho was quite popular, as were the noodle and rice dishes. I, myself, had a salt and pepper shrimp rice dish that I thought wouldn't fill me and I was deceived. It looks small, but it will fill you. The spicy sauce, too, was delectable.

For dessert, we had the chocolate mousse and a flaming cheesecake. The presentation for that flaming cheesecake was beautiful, and I recommend this if you like a show and love pineapple. I love a show but hate pineapple, so I took a bite and called it a day. The chocolate mousse in comparison while good wasn't a stunner; most, if not all minus me, preferred the cheesecake. Ultimately, this was my favorite restaurant in Austin and I would love to return, especially for those soup dumplings. Yum, yum.","Food - Soup dumplings (perfectly seasoned), Appetizers (variety), Salt and pepper shrimp rice (filling, delectable), flaming cheesecake (recommended), chocolate mousse (good, not a stunner)||Service - Coordinated, attentive"
